"Country Name","total"
"Afghanistan",1
"Angola",1
"Argentina",3
"Armenia",1
"Australia",8
"Austria",5
"Austria-Hungary",1
"Azerbaijan",1
"Baden",2
"Bavaria",2
"Belgium",3
"Bolivia",2
"Bosnia",1
"Brazil",3
"Bulgaria",5
"Cambodia",3
"Canada",4
"Chad",2
"Chile",2
"China",12
"China (PRC)",2
"Colombia",2
"Croatia",1
"Cuba",2
"Cyprus",1
"Czechoslovakia",1
"Democratic Republic of the Congo",1
"Denmark",2
"Ecuador",2
"Egypt",7
"El Salvador",5
"Eritrea",1
"Estonia",2
"Ethiopia",5
"Finland",3
"France",21
"Germany",13
"Greece",9
"Guatemala",3
"Hanover",1
"Hesse Electoral",1
"Hesse Grand Ducal",1
"Honduras",3
"Hungary",3
"India",5
"Iran",2
"Iraq",5
"Israel",6
"Italy",14
"Japan",10
"Jordan",3
"Kuwait",1
"Laos",1
"Latvia",1
"Lebanon",1
"Libya",3
"Lithuania",1
"Mecklenburg Schwerin",1
"Mexico",2
"Modena",1
"Mongolia",2
"Morocco",4
"Netherlands",3
"New Zealand",4
"Nicaragua",1
"North Korea",1
"Norway",1
"Oman",1
"Ottoman Empire",2
"Pakistan",4
"Papal States",2
"Paraguay",2
"Peru",3
"Philippines",2
"Poland",3
"Portugal",1
"Prussia",1
"Qatar",1
"Romania",5
"Russia",13
"Sardinia/Piedmont",3
"Saudi Arabia",3
"Saxony",1
"Somalia",1
"South Africa",2
"South Korea",2
"South Vietnam",2
"Spain",7
"Syria",5
"Taiwan",1
"Taiwan (ROC)",1
"Tanzania",1
"Thailand",4
"Turkey",15
"Tuscany",1
"Two Sicilies",2
"USSR",7
"Uganda",1
"United Arab Emirates",1
"United Kingdom",19
"United States",18
"Vietnam",6
"Wuerttemburg",2
"Yemen Arab Republic",1
"Yugoslavia",7
